index,trial_index,id,price_displayed,key pressed,environment,order,round_instance,task,function_id,quality_check,builtin_rt,end_time,start_time,Participant Public ID,latency
106593,8.0,668220.0,0.7,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,166.78000000002794,1554475095361.0,1554475095194.0,BLIND,172.0
106594,8.0,668220.0,0.7,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,168.6949999998324,1554475095535.0,1554475095366.0,BLIND,174.0
106595,8.0,668220.0,0.7,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,166.78499999985797,1554475095708.0,1554475095540.0,BLIND,172.0
106596,8.0,668220.0,0.7,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,148.11499999993245,1554475095860.0,1554475095712.0,BLIND,152.0
106597,8.0,668220.0,0.7,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,178.72499999974391,1554475096043.0,1554475095864.0,BLIND,198.0
106834,11.0,668220.0,1.2,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,910.969999999914,1554475134025.0,1554475133113.0,BLIND,917.0
106835,11.0,668220.0,1.2,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,179.85499999986496,1554475134211.0,1554475134030.0,BLIND,186.0
106836,11.0,668220.0,1.2,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,206.31999999977413,1554475134423.0,1554475134216.0,BLIND,213.0
106837,11.0,668220.0,1.2,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,197.11999999982072,1554475134626.0,1554475134429.0,BLIND,203.0
106838,11.0,668220.0,1.2,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,188.4549999999581,1554475134821.0,1554475134632.0,BLIND,194.0
106839,11.0,668220.0,1.2,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,176.31500000017695,1554475135003.0,1554475134826.0,BLIND,182.0
106840,11.0,668220.0,1.2,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,180.83500000013737,1554475135190.0,1554475135008.0,BLIND,187.0
106841,11.0,668220.0,1.2,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,158.17500000004657,1554475135354.0,1554475135195.0,BLIND,179.0
107185,3.0,668220.0,1.2,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,1303.9349999998813,1554475233176.0,1554475231872.0,BLIND,1310.0
107186,3.0,668220.0,1.2,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,175.3300000000745,1554475233359.0,1554475233182.0,BLIND,183.0
107187,3.0,668220.0,1.2,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,137.09000000020023,1554475233502.0,1554475233365.0,BLIND,142.0
107188,3.0,668220.0,1.2,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,156.4100000000908,1554475233664.0,1554475233507.0,BLIND,162.0
107189,3.0,668220.0,1.2,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,167.62999999994645,1554475233837.0,1554475233669.0,BLIND,174.0
107190,3.0,668220.0,1.2,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,159.94500000029802,1554475234003.0,1554475233843.0,BLIND,166.0
107191,3.0,668220.0,1.2,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,155.26499999989755,1554475234165.0,1554475234009.0,BLIND,162.0
107192,3.0,668220.0,1.2,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,168.1400000002468,1554475234339.0,1554475234171.0,BLIND,192.0
107512,7.0,668220.0,0.3,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,1143.1450000000184,1554475285222.0,1554475284079.0,BLIND,1149.0
107513,7.0,668220.0,0.3,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,145.1449999999604,1554475285374.0,1554475285228.0,BLIND,151.0
107514,7.0,668220.0,0.3,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,148.13000000000466,1554475285528.0,1554475285379.0,BLIND,153.0
107515,7.0,668220.0,0.3,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,179.00999999983466,1554475285712.0,1554475285532.0,BLIND,185.0
107516,7.0,668220.0,0.3,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,158.2250000000931,1554475285875.0,1554475285717.0,BLIND,163.0
107517,7.0,668220.0,0.3,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,158.26999999990218,1554475286039.0,1554475285880.0,BLIND,164.0
107518,7.0,668220.0,0.3,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,171.0299999999697,1554475286215.0,1554475286044.0,BLIND,347.0
107827,11.0,668220.0,0.7,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,1263.5399999999208,1554475337692.0,1554475336427.0,BLIND,1270.0
107828,11.0,668220.0,0.7,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,116.51500000024679,1554475337814.0,1554475337697.0,BLIND,123.0
107829,11.0,668220.0,0.7,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,155.39500000025146,1554475337976.0,1554475337820.0,BLIND,161.0
107830,11.0,668220.0,0.7,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,167.6600000000326,1554475338149.0,1554475337981.0,BLIND,174.0
107831,11.0,668220.0,0.7,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,149.53999999992084,1554475338305.0,1554475338155.0,BLIND,155.0
107832,11.0,668220.0,0.7,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,157.70999999996275,1554475338468.0,1554475338310.0,BLIND,164.0
107833,11.0,668220.0,0.7,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,155.5100000000093,1554475338630.0,1554475338474.0,BLIND,345.0
108222,4.0,668220.0,1.8,39.0,high,high-low,22.0,rod_fixing,rod_fixing,1.0,1081.8949999997858,1554475427104.0,1554475426022.0,BLIND,1089.0
108223,4.0,668220.0,1.8,39.0,high,high-low,22.0,rod_fixing,rod_fixing,1.0,167.46999999985565,1554475427279.0,1554475427111.0,BLIND,177.0
108224,4.0,668220.0,1.8,39.0,high,high-low,22.0,rod_fixing,rod_fixing,1.0,152.92499999993015,1554475427442.0,1554475427288.0,BLIND,158.0
108225,4.0,668220.0,1.8,39.0,high,high-low,22.0,rod_fixing,rod_fixing,1.0,158.93499999993946,1554475427605.0,1554475427446.0,BLIND,169.0
108226,4.0,668220.0,1.8,39.0,high,high-low,22.0,rod_fixing,rod_fixing,1.0,144.05999999959022,1554475427759.0,1554475427615.0,BLIND,150.0
108227,4.0,668220.0,1.8,39.0,high,high-low,22.0,rod_fixing,rod_fixing,1.0,147.23000000009782,1554475427913.0,1554475427765.0,BLIND,154.0
108228,4.0,668220.0,1.8,39.0,high,high-low,22.0,rod_fixing,rod_fixing,1.0,154.6699999999255,1554475428074.0,1554475427919.0,BLIND,340.0
108559,8.0,668220.0,0.7,39.0,high,high-low,22.0,rod_fixing,rod_fixing,1.0,1205.6599999996836,1554475479602.0,1554475478395.0,BLIND,1214.0
108560,8.0,668220.0,0.7,39.0,high,high-low,22.0,rod_fixing,rod_fixing,1.0,166.0400000001537,1554475479775.0,1554475479609.0,BLIND,174.0
108561,8.0,668220.0,0.7,39.0,high,high-low,22.0,rod_fixing,rod_fixing,1.0,156.4100000000326,1554475479940.0,1554475479783.0,BLIND,164.0
108562,8.0,668220.0,0.7,39.0,high,high-low,22.0,rod_fixing,rod_fixing,1.0,166.13999999978114,1554475480113.0,1554475479947.0,BLIND,173.0
108563,8.0,668220.0,0.7,39.0,high,high-low,22.0,rod_fixing,rod_fixing,1.0,156.55000000016295,1554475480277.0,1554475480120.0,BLIND,164.0
108564,8.0,668220.0,0.7,39.0,high,high-low,22.0,rod_fixing,rod_fixing,1.0,160.9299999999348,1554475480446.0,1554475480284.0,BLIND,170.0
108565,8.0,668220.0,0.7,39.0,high,high-low,22.0,rod_fixing,rod_fixing,1.0,174.70000000006985,1554475480629.0,1554475480454.0,BLIND,365.0
108806,11.0,668220.0,1.2,39.0,high,high-low,22.0,rod_fixing,rod_fixing,1.0,828.1349999997765,1554475518484.0,1554475517655.0,BLIND,836.0
108807,11.0,668220.0,1.2,39.0,high,high-low,22.0,rod_fixing,rod_fixing,1.0,136.59499999985565,1554475518628.0,1554475518491.0,BLIND,144.0
108808,11.0,668220.0,1.2,39.0,high,high-low,22.0,rod_fixing,rod_fixing,1.0,166.0449999999255,1554475518802.0,1554475518635.0,BLIND,174.0
108809,11.0,668220.0,1.2,39.0,high,high-low,22.0,rod_fixing,rod_fixing,1.0,165.97999999986496,1554475518975.0,1554475518809.0,BLIND,173.0
108810,11.0,668220.0,1.2,39.0,high,high-low,22.0,rod_fixing,rod_fixing,1.0,155.30500000028402,1554475519138.0,1554475518982.0,BLIND,163.0
108811,11.0,668220.0,1.2,39.0,high,high-low,22.0,rod_fixing,rod_fixing,1.0,159.29999999981374,1554475519305.0,1554475519145.0,BLIND,166.0
108812,11.0,668220.0,1.2,39.0,high,high-low,22.0,rod_fixing,rod_fixing,1.0,136.77999999979508,1554475519449.0,1554475519311.0,BLIND,305.0
109154,3.0,668225.0,0.3,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,750.6800000555812,1554474859521.0,1554474858770.0,BLIND,753.0
109155,3.0,668225.0,0.3,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,205.42499981820583,1554474859729.0,1554474859523.0,BLIND,208.0
109156,3.0,668225.0,0.3,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,149.56000004895031,1554474859881.0,1554474859731.0,BLIND,151.0
109157,3.0,668225.0,0.3,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,166.16500006057322,1554474860049.0,1554474859882.0,BLIND,169.0
109158,3.0,668225.0,0.3,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,301.63499992340803,1554474860353.0,1554474860051.0,BLIND,303.0
109159,3.0,668225.0,0.3,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,142.2250000759959,1554474860497.0,1554474860354.0,BLIND,144.0
109160,3.0,668225.0,0.3,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,143.0149998050183,1554474860641.0,1554474860498.0,BLIND,144.0
109161,3.0,668225.0,0.3,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,302.2849999833852,1554474860945.0,1554474860642.0,BLIND,308.0
109356,7.0,668225.0,1.2,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,653.6149999592452,1554474911678.0,1554474911024.0,BLIND,655.0
109357,7.0,668225.0,1.2,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,533.9849998708813,1554474912213.0,1554474911679.0,BLIND,536.0
109358,7.0,668225.0,1.2,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,157.71499997936192,1554474912373.0,1554474912215.0,BLIND,160.0
109359,7.0,668225.0,1.2,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,333.8949999306351,1554474912709.0,1554474912375.0,BLIND,336.0
109360,7.0,668225.0,1.2,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,453.75999994575983,1554474913165.0,1554474912711.0,BLIND,456.0
109361,7.0,668225.0,1.2,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,157.6549999881536,1554474913325.0,1554474913167.0,BLIND,160.0
109362,7.0,668225.0,1.2,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,174.50500000268218,1554474913502.0,1554474913327.0,BLIND,176.0
109363,7.0,668225.0,1.2,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,158.5899998899549,1554474913662.0,1554474913503.0,BLIND,165.0
109590,11.0,668225.0,2.5,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,743.0499999318272,1554474964018.0,1554474963275.0,BLIND,745.0
109591,11.0,668225.0,2.5,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,197.914999909699,1554474964218.0,1554474964020.0,BLIND,200.0
109592,11.0,668225.0,2.5,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,157.40000014193356,1554474964378.0,1554474964220.0,BLIND,160.0
109593,11.0,668225.0,2.5,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,134.1949999332428,1554474964514.0,1554474964380.0,BLIND,136.0
109594,11.0,668225.0,2.5,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,126.12999998964371,1554474964642.0,1554474964516.0,BLIND,128.0
109595,11.0,668225.0,2.5,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,125.57499995455144,1554474964770.0,1554474964644.0,BLIND,127.0
109596,11.0,668225.0,2.5,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,126.60499988123777,1554474964898.0,1554474964771.0,BLIND,244.0
109986,4.0,668225.0,1.2,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,591.67500003241,1554475046126.0,1554475045534.0,BLIND,595.0
109987,4.0,668225.0,1.2,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,141.52500010095537,1554475046270.0,1554475046129.0,BLIND,144.0
109988,4.0,668225.0,1.2,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,204.95499996468425,1554475046478.0,1554475046273.0,BLIND,207.0
109989,4.0,668225.0,1.2,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,293.9800000749528,1554475046775.0,1554475046480.0,BLIND,297.0
109990,4.0,668225.0,1.2,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,132.70499999634922,1554475046910.0,1554475046777.0,BLIND,135.0
109991,4.0,668225.0,1.2,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,190.18999999389047,1554475047102.0,1554475046912.0,BLIND,193.0
109992,4.0,668225.0,1.2,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,357.4599998537451,1554475047462.0,1554475047105.0,BLIND,524.0
110277,8.0,668225.0,1.8,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,1190.1249999646095,1554475099082.0,1554475097892.0,BLIND,1193.0
110278,8.0,668225.0,1.8,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,165.49500008113682,1554475099250.0,1554475099085.0,BLIND,168.0
110279,8.0,668225.0,1.8,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,140.99500002339482,1554475099394.0,1554475099253.0,BLIND,143.0
110280,8.0,668225.0,1.8,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,118.58999985270201,1554475099515.0,1554475099396.0,BLIND,121.0
110281,8.0,668225.0,1.8,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,133.66999989375472,1554475099651.0,1554475099517.0,BLIND,135.0
110282,8.0,668225.0,1.8,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,158.12499984167513,1554475099810.0,1554475099652.0,BLIND,160.0
110283,8.0,668225.0,1.8,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,141.7050000745803,1554475099954.0,1554475099812.0,BLIND,293.0
110426,11.0,668225.0,2.5,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,684.3649998772889,1554475137871.0,1554475137187.0,BLIND,687.0
110427,11.0,668225.0,2.5,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,173.35000005550685,1554475138047.0,1554475137874.0,BLIND,176.0
110428,11.0,668225.0,2.5,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,300.8149999659508,1554475138351.0,1554475138050.0,BLIND,304.0
110429,11.0,668225.0,2.5,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,149.3750000372529,1554475138503.0,1554475138354.0,BLIND,152.0
110430,11.0,668225.0,2.5,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,140.67999995313585,1554475138647.0,1554475138506.0,BLIND,143.0
110431,11.0,668225.0,2.5,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,126.43499998375772,1554475138776.0,1554475138649.0,BLIND,129.0
110432,11.0,668225.0,2.5,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,140.90500003658238,1554475138919.0,1554475138778.0,BLIND,143.0
110433,11.0,668225.0,2.5,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,149.98500002548099,1554475139072.0,1554475138921.0,BLIND,159.0
110737,3.0,668225.0,0.3,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,851.2049999553709,1554475210476.0,1554475209624.0,BLIND,854.0
110738,3.0,668225.0,0.3,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,172.64000000432134,1554475210651.0,1554475210478.0,BLIND,176.0
110739,3.0,668225.0,0.3,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,125.50999992527069,1554475210780.0,1554475210654.0,BLIND,128.0
110740,3.0,668225.0,0.3,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,229.3599999975413,1554475211012.0,1554475210782.0,BLIND,232.0
110741,3.0,668225.0,0.3,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,245.43999996967614,1554475211260.0,1554475211014.0,BLIND,248.0
110742,3.0,668225.0,0.3,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,93.21500011719765,1554475211355.0,1554475211262.0,BLIND,95.0
110743,3.0,668225.0,0.3,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,118.45000018365678,1554475211476.0,1554475211357.0,BLIND,255.0
111060,7.0,668225.0,1.2,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,629.444999853149,1554475262457.0,1554475261827.0,BLIND,632.0
111061,7.0,668225.0,1.2,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,117.33999988064171,1554475262576.0,1554475262459.0,BLIND,119.0
111062,7.0,668225.0,1.2,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,133.8700000196695,1554475262712.0,1554475262578.0,BLIND,136.0
111063,7.0,668225.0,1.2,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,110.06999993696807,1554475262824.0,1554475262714.0,BLIND,112.0
111064,7.0,668225.0,1.2,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,142.18500000424686,1554475262968.0,1554475262826.0,BLIND,145.0
111065,7.0,668225.0,1.2,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,125.6699999794364,1554475263097.0,1554475262971.0,BLIND,128.0
111066,7.0,668225.0,1.2,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,116.9950000476092,1554475263216.0,1554475263099.0,BLIND,269.0
111387,11.0,668225.0,2.5,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,611.4600000437349,1554475314846.0,1554475314234.0,BLIND,614.0
111388,11.0,668225.0,2.5,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,157.2800001595169,1554475315006.0,1554475314848.0,BLIND,160.0
111389,11.0,668225.0,2.5,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,132.77000002563,1554475315141.0,1554475315008.0,BLIND,136.0
111390,11.0,668225.0,2.5,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,140.76999993994832,1554475315285.0,1554475315144.0,BLIND,144.0
111391,11.0,668225.0,2.5,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,277.1900000516325,1554475315566.0,1554475315288.0,BLIND,280.0
111392,11.0,668225.0,2.5,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,133.26000003144145,1554475315702.0,1554475315568.0,BLIND,137.0
111393,11.0,668225.0,2.5,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,252.53499997779727,1554475315958.0,1554475315705.0,BLIND,398.0
111773,4.0,668225.0,1.2,39.0,high,high-low,22.0,rod_fixing,rod_fixing,1.0,980.7649999856948,1554475393090.0,1554475392109.0,BLIND,984.0
111774,4.0,668225.0,1.2,39.0,high,high-low,22.0,rod_fixing,rod_fixing,1.0,172.81999997794628,1554475393266.0,1554475393093.0,BLIND,176.0
111775,4.0,668225.0,1.2,39.0,high,high-low,22.0,rod_fixing,rod_fixing,1.0,132.95499980449677,1554475393403.0,1554475393269.0,BLIND,137.0
111776,4.0,668225.0,1.2,39.0,high,high-low,22.0,rod_fixing,rod_fixing,1.0,123.93000000156462,1554475393530.0,1554475393406.0,BLIND,126.0
111777,4.0,668225.0,1.2,39.0,high,high-low,22.0,rod_fixing,rod_fixing,1.0,133.46499996259809,1554475393666.0,1554475393532.0,BLIND,136.0
111778,4.0,668225.0,1.2,39.0,high,high-low,22.0,rod_fixing,rod_fixing,1.0,149.36499996110797,1554475393818.0,1554475393668.0,BLIND,153.0
111779,4.0,668225.0,1.2,39.0,high,high-low,22.0,rod_fixing,rod_fixing,1.0,132.2600001003593,1554475393954.0,1554475393821.0,BLIND,272.0
112122,8.0,668225.0,1.8,39.0,high,high-low,22.0,rod_fixing,rod_fixing,1.0,723.4600000083448,1554475445055.0,1554475444331.0,BLIND,726.0
112123,8.0,668225.0,1.8,39.0,high,high-low,22.0,rod_fixing,rod_fixing,1.0,180.88499992154541,1554475445239.0,1554475445057.0,BLIND,185.0
112124,8.0,668225.0,1.8,39.0,high,high-low,22.0,rod_fixing,rod_fixing,1.0,108.73500001616777,1554475445351.0,1554475445242.0,BLIND,111.0
112125,8.0,668225.0,1.8,39.0,high,high-low,22.0,rod_fixing,rod_fixing,1.0,133.36000009439886,1554475445487.0,1554475445353.0,BLIND,136.0
112126,8.0,668225.0,1.8,39.0,high,high-low,22.0,rod_fixing,rod_fixing,1.0,124.94999985210598,1554475445615.0,1554475445489.0,BLIND,129.0
112127,8.0,668225.0,1.8,39.0,high,high-low,22.0,rod_fixing,rod_fixing,1.0,149.11500015296042,1554475445767.0,1554475445618.0,BLIND,151.0
112128,8.0,668225.0,1.8,39.0,high,high-low,22.0,rod_fixing,rod_fixing,1.0,149.22500005923212,1554475445919.0,1554475445769.0,BLIND,313.0
112354,11.0,668225.0,2.5,39.0,high,high-low,22.0,rod_fixing,rod_fixing,1.0,730.8950000442564,1554475484292.0,1554475483561.0,BLIND,734.0
112355,11.0,668225.0,2.5,39.0,high,high-low,22.0,rod_fixing,rod_fixing,1.0,260.54499996826047,1554475484555.0,1554475484295.0,BLIND,264.0
