,id,price_displayed,key pressed,environment,order,round_instance,task,function_id,quality_check,builtin_rt,end_time,start_time,Participant Public ID,index,latency
1330,621711.0,,39.0,high,high-low,21.0,rod_fixing,rod_fixing,1.0,148.9350000047125,1551894187510.0,1551894187361.0,5c0e55c7427e7b00013b7cb0,1330,154.0
1331,621711.0,,39.0,high,high-low,21.0,rod_fixing,rod_fixing,1.0,141.50000002700838,1551894187657.0,1551894187515.0,5c0e55c7427e7b00013b7cb0,1331,144.0
1332,621711.0,,39.0,high,high-low,21.0,rod_fixing,rod_fixing,1.0,136.21000002603978,1551894187796.0,1551894187659.0,5c0e55c7427e7b00013b7cb0,1332,139.0
1333,621711.0,,39.0,high,high-low,21.0,rod_fixing,rod_fixing,1.0,120.33999996492642,1551894187919.0,1551894187798.0,5c0e55c7427e7b00013b7cb0,1333,123.0
1334,621711.0,,39.0,high,high-low,21.0,rod_fixing,rod_fixing,1.0,123.90499998582528,1551894188045.0,1551894187921.0,5c0e55c7427e7b00013b7cb0,1334,127.0
1335,621711.0,,39.0,high,high-low,21.0,rod_fixing,rod_fixing,1.0,140.08499996270984,1551894188188.0,1551894188048.0,5c0e55c7427e7b00013b7cb0,1335,142.0
1688,621711.0,,39.0,high,high-low,21.0,rod_fixing,rod_fixing,1.0,127.94500001473352,1551894240156.0,1551894240028.0,5c0e55c7427e7b00013b7cb0,1688,131.0
1689,621711.0,,39.0,high,high-low,21.0,rod_fixing,rod_fixing,1.0,117.49999999301508,1551894240276.0,1551894240159.0,5c0e55c7427e7b00013b7cb0,1689,120.0
1690,621711.0,,39.0,high,high-low,21.0,rod_fixing,rod_fixing,1.0,121.09000002965332,1551894240401.0,1551894240279.0,5c0e55c7427e7b00013b7cb0,1690,125.0
1691,621711.0,,39.0,high,high-low,21.0,rod_fixing,rod_fixing,1.0,138.440000009723,1551894240542.0,1551894240404.0,5c0e55c7427e7b00013b7cb0,1691,141.0
1692,621711.0,,39.0,high,high-low,21.0,rod_fixing,rod_fixing,1.0,125.92999998014419,1551894240671.0,1551894240545.0,5c0e55c7427e7b00013b7cb0,1692,129.0
1693,621711.0,,39.0,high,high-low,21.0,rod_fixing,rod_fixing,1.0,133.48499999847263,1551894240808.0,1551894240674.0,5c0e55c7427e7b00013b7cb0,1693,136.0
1917,621711.0,,39.0,high,high-low,21.0,rod_fixing,rod_fixing,1.0,129.52000001678243,1551894278875.0,1551894278745.0,5c0e55c7427e7b00013b7cb0,1917,132.0
1918,621711.0,,39.0,high,high-low,21.0,rod_fixing,rod_fixing,1.0,118.57500002952291,1551894278996.0,1551894278877.0,5c0e55c7427e7b00013b7cb0,1918,122.0
1919,621711.0,,39.0,high,high-low,21.0,rod_fixing,rod_fixing,1.0,139.00999998440966,1551894279138.0,1551894278999.0,5c0e55c7427e7b00013b7cb0,1919,142.0
1920,621711.0,,39.0,high,high-low,21.0,rod_fixing,rod_fixing,1.0,120.19500002497809,1551894279262.0,1551894279141.0,5c0e55c7427e7b00013b7cb0,1920,123.0
1921,621711.0,,39.0,high,high-low,21.0,rod_fixing,rod_fixing,1.0,126.40000000828877,1551894279391.0,1551894279264.0,5c0e55c7427e7b00013b7cb0,1921,130.0
1922,621711.0,,39.0,high,high-low,21.0,rod_fixing,rod_fixing,1.0,148.03499996196481,1551894279542.0,1551894279394.0,5c0e55c7427e7b00013b7cb0,1922,151.0
2251,621711.0,,39.0,low,high-low,12.0,rod_fixing,rod_fixing,1.0,165.65500001888722,1551894405623.0,1551894405457.0,5c0e55c7427e7b00013b7cb0,2251,169.0
2252,621711.0,,39.0,low,high-low,12.0,rod_fixing,rod_fixing,1.0,147.6000000257045,1551894405774.0,1551894405626.0,5c0e55c7427e7b00013b7cb0,2252,151.0
2253,621711.0,,39.0,low,high-low,12.0,rod_fixing,rod_fixing,1.0,127.9699999722652,1551894405905.0,1551894405777.0,5c0e55c7427e7b00013b7cb0,2253,131.0
2254,621711.0,,39.0,low,high-low,12.0,rod_fixing,rod_fixing,1.0,125.55500003509223,1551894406034.0,1551894405908.0,5c0e55c7427e7b00013b7cb0,2254,129.0
2255,621711.0,,39.0,low,high-low,12.0,rod_fixing,rod_fixing,1.0,144.36500001465902,1551894406182.0,1551894406037.0,5c0e55c7427e7b00013b7cb0,2255,148.0
2256,621711.0,,39.0,low,high-low,12.0,rod_fixing,rod_fixing,1.0,139.43500001914802,1551894406325.0,1551894406185.0,5c0e55c7427e7b00013b7cb0,2256,143.0
2571,621711.0,,39.0,low,high-low,12.0,rod_fixing,rod_fixing,1.0,106.3850000500679,1551894458153.0,1551894458046.0,5c0e55c7427e7b00013b7cb0,2571,109.0
2572,621711.0,,39.0,low,high-low,12.0,rod_fixing,rod_fixing,1.0,122.71000002510846,1551894458278.0,1551894458155.0,5c0e55c7427e7b00013b7cb0,2572,126.0
2573,621711.0,,39.0,low,high-low,12.0,rod_fixing,rod_fixing,1.0,126.66000000899658,1551894458408.0,1551894458281.0,5c0e55c7427e7b00013b7cb0,2573,129.0
2843,621711.0,,39.0,low,high-low,12.0,rod_fixing,rod_fixing,1.0,146.63999999174845,1551894510431.0,1551894510284.0,5c0e55c7427e7b00013b7cb0,2843,150.0
2844,621711.0,,39.0,low,high-low,12.0,rod_fixing,rod_fixing,1.0,117.0249999850057,1551894510552.0,1551894510434.0,5c0e55c7427e7b00013b7cb0,2844,121.0
2845,621711.0,,39.0,low,high-low,12.0,rod_fixing,rod_fixing,1.0,131.05999998515472,1551894510687.0,1551894510555.0,5c0e55c7427e7b00013b7cb0,2845,135.0
2846,621711.0,,39.0,low,high-low,12.0,rod_fixing,rod_fixing,1.0,109.2499999795109,1551894510799.0,1551894510690.0,5c0e55c7427e7b00013b7cb0,2846,112.0
2847,621711.0,,39.0,low,high-low,12.0,rod_fixing,rod_fixing,1.0,113.8049999717623,1551894510916.0,1551894510802.0,5c0e55c7427e7b00013b7cb0,2847,118.0
2848,621711.0,,39.0,low,high-low,12.0,rod_fixing,rod_fixing,1.0,109.81499997433278,1551894511030.0,1551894510920.0,5c0e55c7427e7b00013b7cb0,2848,113.0
3217,621711.0,,39.0,low,high-low,22.0,rod_fixing,rod_fixing,1.0,107.06499998923391,1551894578813.0,1551894578706.0,5c0e55c7427e7b00013b7cb0,3217,110.0
3218,621711.0,,39.0,low,high-low,22.0,rod_fixing,rod_fixing,1.0,142.54500000970438,1551894578959.0,1551894578816.0,5c0e55c7427e7b00013b7cb0,3218,145.0
3219,621711.0,,39.0,low,high-low,22.0,rod_fixing,rod_fixing,1.0,115.34499999834223,1551894579077.0,1551894578961.0,5c0e55c7427e7b00013b7cb0,3219,118.0
3220,621711.0,,39.0,low,high-low,22.0,rod_fixing,rod_fixing,1.0,111.52500001480804,1551894579191.0,1551894579079.0,5c0e55c7427e7b00013b7cb0,3220,115.0
3221,621711.0,,39.0,low,high-low,22.0,rod_fixing,rod_fixing,1.0,115.51500001223759,1551894579309.0,1551894579194.0,5c0e55c7427e7b00013b7cb0,3221,118.0
3547,621711.0,,39.0,low,high-low,22.0,rod_fixing,rod_fixing,1.0,119.79999998584391,1551894630926.0,1551894630806.0,5c0e55c7427e7b00013b7cb0,3547,124.0
3548,621711.0,,39.0,low,high-low,22.0,rod_fixing,rod_fixing,1.0,121.09000002965332,1551894631051.0,1551894630930.0,5c0e55c7427e7b00013b7cb0,3548,125.0
3549,621711.0,,39.0,low,high-low,22.0,rod_fixing,rod_fixing,1.0,121.2850000010803,1551894631177.0,1551894631055.0,5c0e55c7427e7b00013b7cb0,3549,125.0
3550,621711.0,,39.0,low,high-low,22.0,rod_fixing,rod_fixing,1.0,139.22000001184642,1551894631320.0,1551894631180.0,5c0e55c7427e7b00013b7cb0,3550,144.0
3551,621711.0,,39.0,low,high-low,22.0,rod_fixing,rod_fixing,1.0,137.505000049714,1551894631461.0,1551894631324.0,5c0e55c7427e7b00013b7cb0,3551,143.0
3552,621711.0,,39.0,low,high-low,22.0,rod_fixing,rod_fixing,1.0,146.439999982249,1551894631614.0,1551894631467.0,5c0e55c7427e7b00013b7cb0,3552,150.0
3771,621711.0,,39.0,low,high-low,22.0,rod_fixing,rod_fixing,1.0,103.54999999981372,1551894670331.0,1551894670227.0,5c0e55c7427e7b00013b7cb0,3771,107.0
3772,621711.0,,39.0,low,high-low,22.0,rod_fixing,rod_fixing,1.0,125.7949999999255,1551894670460.0,1551894670334.0,5c0e55c7427e7b00013b7cb0,3772,129.0
3773,621711.0,,39.0,low,high-low,22.0,rod_fixing,rod_fixing,1.0,125.86999998893587,1551894670589.0,1551894670463.0,5c0e55c7427e7b00013b7cb0,3773,129.0
3774,621711.0,,39.0,low,high-low,22.0,rod_fixing,rod_fixing,1.0,119.84999995911494,1551894670712.0,1551894670592.0,5c0e55c7427e7b00013b7cb0,3774,122.0
3775,621711.0,,39.0,low,high-low,22.0,rod_fixing,rod_fixing,1.0,121.86000001383944,1551894670837.0,1551894670714.0,5c0e55c7427e7b00013b7cb0,3775,125.0
180,621725.0,,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,83.4200000099372,1551894192444.0,1551894192358.0,5bcd24135c2b810001dc9756,59417,93.0
181,621725.0,,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,108.6700000159908,1551894192564.0,1551894192451.0,5bcd24135c2b810001dc9756,59418,128.0
182,621725.0,,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,106.72000001068228,1551894192687.0,1551894192579.0,5bcd24135c2b810001dc9756,59419,121.0
183,621725.0,,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,99.58000000915492,1551894192805.0,1551894192700.0,5bcd24135c2b810001dc9756,59420,113.0
184,621725.0,,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,113.1300000124611,1551894192927.0,1551894192813.0,5bcd24135c2b810001dc9756,59421,126.0
185,621725.0,,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,114.15999999735504,1551894193054.0,1551894192939.0,5bcd24135c2b810001dc9756,59422,130.0
544,621725.0,,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,115.98499998217449,1551894244679.0,1551894244560.0,5bcd24135c2b810001dc9756,59781,131.0
545,621725.0,,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,111.89500000909901,1551894244804.0,1551894244691.0,5bcd24135c2b810001dc9756,59782,132.0
546,621725.0,,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,125.69499999517576,1551894244950.0,1551894244823.0,5bcd24135c2b810001dc9756,59783,144.0
547,621725.0,,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,120.44999998761341,1551894245090.0,1551894244967.0,5bcd24135c2b810001dc9756,59784,142.0
548,621725.0,,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,115.53000001003966,1551894245228.0,1551894245109.0,5bcd24135c2b810001dc9756,59785,128.0
549,621725.0,,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,138.6699999857228,1551894245378.0,1551894245237.0,5bcd24135c2b810001dc9756,59786,155.0
893,621725.0,,,low,low-high,11.0,rod_fixing,rod_fixing,1.0,,,1551894296060.0,5bcd24135c2b810001dc9756,60130,205.0
898,621725.0,,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,108.60000000684522,1551894296936.0,1551894296825.0,5bcd24135c2b810001dc9756,60135,121.0
899,621725.0,,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,129.67500000377186,1551894297077.0,1551894296946.0,5bcd24135c2b810001dc9756,60136,142.0
900,621725.0,,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,128.82000001263805,1551894297218.0,1551894297088.0,5bcd24135c2b810001dc9756,60137,137.0
901,621725.0,,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,126.42000001505949,1551894297353.0,1551894297225.0,5bcd24135c2b810001dc9756,60138,150.0
902,621725.0,,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,118.32000000867993,1551894297496.0,1551894297375.0,5bcd24135c2b810001dc9756,60139,126.0
903,621725.0,,39.0,low,low-high,11.0,rod_fixing,rod_fixing,1.0,129.9450000224169,1551894297632.0,1551894297501.0,5bcd24135c2b810001dc9756,60140,147.0
1366,621725.0,,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,96.33500000927594,1551894376209.0,1551894376105.0,5bcd24135c2b810001dc9756,60603,126.0
1367,621725.0,,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,108.81499998504296,1551894376341.0,1551894376231.0,5bcd24135c2b810001dc9756,60604,127.0
1368,621725.0,,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,119.8900000017602,1551894376480.0,1551894376358.0,5bcd24135c2b810001dc9756,60605,131.0
1369,621725.0,,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,121.12500000512227,1551894376612.0,1551894376489.0,5bcd24135c2b810001dc9756,60606,142.0
1370,621725.0,,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,113.824999978533,1551894376748.0,1551894376631.0,5bcd24135c2b810001dc9756,60607,130.0
1371,621725.0,,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,120.9450000023935,1551894376885.0,1551894376761.0,5bcd24135c2b810001dc9756,60608,143.0
1720,621725.0,,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,118.28000002424231,1551894428094.0,1551894427974.0,5bcd24135c2b810001dc9756,60957,139.0
1721,621725.0,,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,124.79499998153187,1551894428241.0,1551894428113.0,5bcd24135c2b810001dc9756,60958,146.0
1722,621725.0,,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,115.60499999905005,1551894428376.0,1551894428259.0,5bcd24135c2b810001dc9756,60959,139.0
1723,621725.0,,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,106.13499997998586,1551894428505.0,1551894428398.0,5bcd24135c2b810001dc9756,60960,117.0
1724,621725.0,,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,131.94500000099652,1551894428650.0,1551894428515.0,5bcd24135c2b810001dc9756,60961,167.0
1725,621725.0,,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,128.26500000664964,1551894428812.0,1551894428682.0,5bcd24135c2b810001dc9756,60962,142.0
1980,621725.0,,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,102.24499998730607,1551894467596.0,1551894467490.0,5bcd24135c2b810001dc9756,61217,122.0
1981,621725.0,,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,114.73500001011415,1551894467730.0,1551894467612.0,5bcd24135c2b810001dc9756,61218,144.0
1982,621725.0,,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,94.61999998893587,1551894467852.0,1551894467756.0,5bcd24135c2b810001dc9756,61219,107.0
1983,621725.0,,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,119.08000000403266,1551894467984.0,1551894467863.0,5bcd24135c2b810001dc9756,61220,132.0
1984,621725.0,,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,142.88500000839122,1551894468139.0,1551894467995.0,5bcd24135c2b810001dc9756,61221,163.0
1985,621725.0,,39.0,low,low-high,21.0,rod_fixing,rod_fixing,1.0,124.18499999330379,1551894468283.0,1551894468158.0,5bcd24135c2b810001dc9756,61222,147.0
2336,621725.0,,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,113.93999998108484,1551894570688.0,1551894570572.0,5bcd24135c2b810001dc9756,61573,134.0
2337,621725.0,,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,108.8549999985844,1551894570816.0,1551894570706.0,5bcd24135c2b810001dc9756,61574,124.0
2338,621725.0,,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,105.06999999051914,1551894570937.0,1551894570830.0,5bcd24135c2b810001dc9756,61575,121.0
2339,621725.0,,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,112.1500000008382,1551894571064.0,1551894570951.0,5bcd24135c2b810001dc9756,61576,127.0
2714,621725.0,,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,111.34999999194406,1551894623604.0,1551894623491.0,5bcd24135c2b810001dc9756,61951,128.0
2715,621725.0,,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,114.49999999604186,1551894623736.0,1551894623619.0,5bcd24135c2b810001dc9756,61952,136.0
2716,621725.0,,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,123.15500000840984,1551894623879.0,1551894623755.0,5bcd24135c2b810001dc9756,61953,136.0
2717,621725.0,,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,142.9800000041723,1551894624036.0,1551894623891.0,5bcd24135c2b810001dc9756,61954,169.0
2718,621725.0,,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,131.73500000266358,1551894624193.0,1551894624060.0,5bcd24135c2b810001dc9756,61955,154.0
3056,621725.0,,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,100.41500002262184,1551894675557.0,1551894675453.0,5bcd24135c2b810001dc9756,62293,117.0
3057,621725.0,,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,117.14999997639096,1551894675688.0,1551894675570.0,5bcd24135c2b810001dc9756,62294,136.0
3058,621725.0,,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,119.66999998549,1551894675827.0,1551894675706.0,5bcd24135c2b810001dc9756,62295,135.0
3059,621725.0,,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,119.12499999743885,1551894675961.0,1551894675841.0,5bcd24135c2b810001dc9756,62296,132.0
3060,621725.0,,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,119.08000000403266,1551894676094.0,1551894675973.0,5bcd24135c2b810001dc9756,62297,144.0
3061,621725.0,,39.0,high,high-low,12.0,rod_fixing,rod_fixing,1.0,111.87000002246349,1551894676231.0,1551894676117.0,5bcd24135c2b810001dc9756,62298,135.0
4124,621725.0,,39.0,high,high-low,22.0,rod_fixing,rod_fixing,1.0,107.99499999848194,1551894864998.0,1551894864887.0,5bcd24135c2b810001dc9756,63361,127.0
4125,621725.0,,39.0,high,high-low,22.0,rod_fixing,rod_fixing,1.0,113.95500000799076,1551894865129.0,1551894865014.0,5bcd24135c2b810001dc9756,63362,127.0
4126,621725.0,,39.0,high,high-low,22.0,rod_fixing,rod_fixing,1.0,99.01499998522922,1551894865242.0,1551894865141.0,5bcd24135c2b810001dc9756,63363,119.0
4127,621725.0,,39.0,high,high-low,22.0,rod_fixing,rod_fixing,1.0,100.44000000925736,1551894865362.0,1551894865260.0,5bcd24135c2b810001dc9756,63364,111.0
4128,621725.0,,39.0,high,high-low,22.0,rod_fixing,rod_fixing,1.0,122.44000000646338,1551894865496.0,1551894865371.0,5bcd24135c2b810001dc9756,63365,135.0
4073,621729.0,,39.0,high,high-low,11.0,rod_fixing,rod_fixing,1.0,134.0,1551894360753.0,1551894360619.0,5c536487b78e9500010dc0a1,4073,135.0
4074,621729.0,,39.0,high,high-low,11.0,rod_fixing,rod_fixing,1.0,131.0,1551894360885.0,1551894360754.0,5c536487b78e9500010dc0a1,4074,132.0
4075,621729.0,,39.0,high,high-low,11.0,rod_fixing,rod_fixing,1.0,105.99999999999271,1551894360993.0,1551894360886.0,5c536487b78e9500010dc0a1,4075,108.0
4698,621729.0,,39.0,high,high-low,11.0,rod_fixing,rod_fixing,1.0,156.0,1551894465159.0,1551894465003.0,5c536487b78e9500010dc0a1,4698,157.0
4699,621729.0,,39.0,high,high-low,11.0,rod_fixing,rod_fixing,1.0,136.0,1551894465297.0,1551894465160.0,5c536487b78e9500010dc0a1,4699,138.0
4700,621729.0,,39.0,high,high-low,11.0,rod_fixing,rod_fixing,1.0,148.00000000002908,1551894465447.0,1551894465298.0,5c536487b78e9500010dc0a1,4700,150.0
4701,621729.0,,39.0,high,high-low,11.0,rod_fixing,rod_fixing,1.0,139.0,1551894465587.0,1551894465448.0,5c536487b78e9500010dc0a1,4701,141.0
4702,621729.0,,39.0,high,high-low,11.0,rod_fixing,rod_fixing,1.0,157.99999999997092,1551894465747.0,1551894465589.0,5c536487b78e9500010dc0a1,4702,159.0
4703,621729.0,,39.0,high,high-low,11.0,rod_fixing,rod_fixing,1.0,156.0,1551894465904.0,1551894465748.0,5c536487b78e9500010dc0a1,4703,158.0
5060,621729.0,,40.0,high,high-low,21.0,rod_fixing,rod_fixing,1.0,60.999999999970896,1551894546028.0,1551894545966.0,5c536487b78e9500010dc0a1,5060,165.0
5061,621729.0,,40.0,high,high-low,21.0,rod_fixing,rod_fixing,1.0,80.00000000002909,1551894546210.0,1551894546131.0,5c536487b78e9500010dc0a1,5061,190.0
5066,621729.0,,39.0,high,high-low,21.0,rod_fixing,rod_fixing,1.0,147.00000000002908,1551894546942.0,1551894546796.0,5c536487b78e9500010dc0a1,5066,149.0
5067,621729.0,,39.0,high,high-low,21.0,rod_fixing,rod_fixing,1.0,159.00000000002908,1551894547103.0,1551894546945.0,5c536487b78e9500010dc0a1,5067,160.0
5068,621729.0,,39.0,high,high-low,21.0,rod_fixing,rod_fixing,1.0,141.00000000002908,1551894547246.0,1551894547105.0,5c536487b78e9500010dc0a1,5068,143.0
5069,621729.0,,39.0,high,high-low,21.0,rod_fixing,rod_fixing,1.0,151.0,1551894547399.0,1551894547248.0,5c536487b78e9500010dc0a1,5069,154.0
5070,621729.0,,39.0,high,high-low,21.0,rod_fixing,rod_fixing,1.0,143.0,1551894547545.0,1551894547402.0,5c536487b78e9500010dc0a1,5070,145.0
5373,621729.0,,39.0,high,high-low,21.0,rod_fixing,rod_fixing,1.0,131.0,1551894599398.0,1551894599267.0,5c536487b78e9500010dc0a1,5373,136.0
5374,621729.0,,39.0,high,high-low,21.0,rod_fixing,rod_fixing,1.0,122.0,1551894599526.0,1551894599403.0,5c536487b78e9500010dc0a1,5374,126.0
5375,621729.0,,39.0,high,high-low,21.0,rod_fixing,rod_fixing,1.0,137.0,1551894599666.0,1551894599529.0,5c536487b78e9500010dc0a1,5375,139.0
5607,621729.0,,39.0,high,high-low,21.0,rod_fixing,rod_fixing,1.0,131.0,1551894638686.0,1551894638554.0,5c536487b78e9500010dc0a1,5607,135.0
5608,621729.0,,39.0,high,high-low,21.0,rod_fixing,rod_fixing,1.0,133.0,1551894638822.0,1551894638689.0,5c536487b78e9500010dc0a1,5608,136.0
5922,621729.0,,39.0,low,high-low,12.0,rod_fixing,rod_fixing,1.0,161.0,1551894740831.0,1551894740670.0,5c536487b78e9500010dc0a1,5922,163.0
5923,621729.0,,39.0,low,high-low,12.0,rod_fixing,rod_fixing,1.0,132.9999999999418,1551894740966.0,1551894740833.0,5c536487b78e9500010dc0a1,5923,136.0
5924,621729.0,,39.0,low,high-low,12.0,rod_fixing,rod_fixing,1.0,137.0,1551894741107.0,1551894740969.0,5c536487b78e9500010dc0a1,5924,140.0
5925,621729.0,,39.0,low,high-low,12.0,rod_fixing,rod_fixing,1.0,130.0,1551894741239.0,1551894741109.0,5c536487b78e9500010dc0a1,5925,134.0
5926,621729.0,,39.0,low,high-low,12.0,rod_fixing,rod_fixing,1.0,133.0,1551894741375.0,1551894741243.0,5c536487b78e9500010dc0a1,5926,135.0
6234,621729.0,,40.0,low,high-low,12.0,rod_fixing,rod_fixing,1.0,66.00000000005821,1551894791686.0,1551894791620.0,5c536487b78e9500010dc0a1,6234,171.0
6235,621729.0,,40.0,low,high-low,12.0,rod_fixing,rod_fixing,1.0,67.00000000005821,1551894791859.0,1551894791791.0,5c536487b78e9500010dc0a1,6235,173.0
6236,621729.0,,40.0,low,high-low,12.0,rod_fixing,rod_fixing,1.0,51.0,1551894792015.0,1551894791964.0,5c536487b78e9500010dc0a1,6236,156.0
6237,621729.0,,40.0,low,high-low,12.0,rod_fixing,rod_fixing,1.0,60.0,1551894792181.0,1551894792120.0,5c536487b78e9500010dc0a1,6237,167.0
6238,621729.0,,40.0,low,high-low,12.0,rod_fixing,rod_fixing,1.0,65.0,1551894792352.0,1551894792287.0,5c536487b78e9500010dc0a1,6238,170.0
6239,621729.0,,,low,high-low,12.0,rod_fixing,rod_fixing,1.0,,,1551894792457.0,5c536487b78e9500010dc0a1,6239,140.0
6244,621729.0,,39.0,low,high-low,12.0,rod_fixing,rod_fixing,1.0,109.00000000005821,1551894793453.0,1551894793344.0,5c536487b78e9500010dc0a1,6244,113.0
6245,621729.0,,39.0,low,high-low,12.0,rod_fixing,rod_fixing,1.0,120.0,1551894793577.0,1551894793457.0,5c536487b78e9500010dc0a1,6245,123.0
